"","UNITID","XGRCOHRT","GRCOHRT","XUGENTER","UGENTERN","XPGRCOHR","PGRCOHRT","XRRFTCT","RRFTCT","XRRFTEX","RRFTEX","XRRFTIN","RRFTIN","XRRFTCTA","RRFTCTA","XRET_NMF","RET_NMF","XRET_PCF","RET_PCF","XRRPTCT","RRPTCT","XRRPTEX","RRPTEX","XRRPTIN","RRPTIN","XRRPTCTA","RRPTCTA","XRET_NMP","RET_NMP","XRET_PCP","RET_PCP","XSTUFACR","STUFACR","Year"
"101",105428,"R",641,"R",3293,"R",19,"R",790,"R",0,"Z",0,"R",790,"R",495,"R",63,"R",752,"R",0,"Z",0,"R",752,"R",316,"R",42,"R",18,2017
"102",105482,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",15,2017
"103",105525,"R",2129,"R",7973,"R",27,"R",2210,"R",1,"R",0,"R",2209,"R",1416,"R",64,"R",2624,"R",0,"R",0,"R",2624,"R",1094,"R",42,"R",26,2017
"104",105534,"A",NA,"A",NA,"A",NA,"R",142,"R",1,"R",0,"R",141,"R",69,"R",49,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",25,2017
"105",105543,"A",NA,"A",NA,"A",NA,"R",210,"R",0,"R",0,"R",210,"R",128,"R",61,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",25,2017
"106",105589,"R",64,"R",143,"R",45,"R",45,"R",0,"R",2,"R",47,"R",34,"R",72,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",8,2017
"107",105659,"A",NA,"A",NA,"A",NA,"R",173,"R",0,"R",0,"R",173,"R",127,"R",73,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",34,2017
"108",105668,"R",77,"R",5035,"R",2,"R",109,"R",0,"Z",0,"R",109,"R",37,"R",34,"R",228,"R",0,"Z",0,"R",228,"R",77,"R",34,"R",30,2017
"109",105677,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",5,2017
"110",105701,"A",NA,"A",NA,"A",NA,"R",32,"R",6,"R",0,"R",26,"R",11,"R",42,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",10,2017
